movie_title,year,director,stars,rating
Gone Girl,2014,David Fincher,"Ben Affleck, Rosamund Pike",8.077890873740829
Room,2015,Lenny Abrahamson,"Brie Larson, Jacob Tremblay",8.076374613230165
Z,1969,Costa-Gavras,"Yves Montand, Irene Papas",8.075007214827105
Andhadhun,2018,Sriram Raghavan,"Ayushmann Khurrana, Tabu",8.073236179067619
La passion de Jeanne d'Arc,1928,Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain",8.072175977657121
Dune: Part One,2021,Denis Villeneuve,"Timothée Chalamet, Rebecca Ferguson",8.071112248245969
Ford v Ferrari,2019,James Mangold,"Matt Damon, Christian Bale",8.071102475535422
12 Years a Slave,2013,Steve McQueen,"Chiwetel Ejiofor, Michael Kenneth Williams",8.07011707300684
To Be or Not to Be,1942,Ernst Lubitsch,"Carole Lombard, Jack Benny",8.066601005181523
The Big Lebowski,1998,Joel Coen,"Jeff Bridges, John Goodman",8.065765272460505
Dead Poets Society,1989,Peter Weir,"Robin Williams, Robert Sean Leonard",8.064387644903988
Harry Potter and the Deathly Hallows: Part 2,2011,David Yates,"Daniel Radcliffe, Emma Watson",8.063375324207488
Ben-Hur,1959,William Wyler,"Charlton Heston, Jack Hawkins",8.062512671885255
How to Train Your Dragon,2010,Dean DeBlois,"Jay Baruchel, Gerard Butler",8.061764430041427
Mad Max: Fury Road,2015,George Miller,"Tom Hardy, Charlize Theron",8.061537892246324
Höstsonaten,1978,Ingmar Bergman,"Ingrid Bergman, Liv Ullmann",8.058244642489177
Million Dollar Baby,2004,Clint Eastwood,"Hilary Swank, Clint Eastwood",8.058130920887622
Le salaire de la peur,1953,Henri-Georges Clouzot,"Yves Montand, Charles Vanel",8.056194799442032
Stand by Me,1986,Rob Reiner,"Wil Wheaton, River Phoenix",8.054993242471909
Network,1976,Sidney Lumet,"Faye Dunaway, William Holden",8.054075798715877
Ah-ga-ssi,2016,Park Chan-wook,"Kim Min-hee, Ha Jung-woo",8.053879681578346
Logan,2017,James Mangold,"Hugh Jackman, Patrick Stewart",8.053751258190198
Gangs of Wasseypur,2012,Anurag Kashyap,"Manoj Bajpayee, Richa Chadha",8.052065239310146
La haine,1995,Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé",8.051023253582779
Koe no katachi,2016,Naoko Yamada,"Miyu Irino, Saori Hayami",8.050716417912252
Cool Hand Luke,1967,Stuart Rosenberg,"Paul Newman, George Kennedy",8.049084192161873
Hachi: A Dog's Tale,2009,Lasse Hallström,"Richard Gere, Joan Allen",8.049043890694655
Les quatre cents coups,1959,François Truffaut,"Jean-Pierre Léaud, Albert Rémy",8.047036082751326
Platoon,1986,Oliver Stone,"Charlie Sheen, Tom Berenger",8.04538327438113
Spotlight,2015,Tom McCarthy,"Mark Ruffalo, Michael Keaton",8.045306780734409
"Monsters, Inc",2001,Pete Docter,"Billy Crystal, John Goodman",8.042567378352764
Rebecca,1940,Alfred Hitchcock,"Laurence Olivier, Joan Fontaine",8.039808996165121
Life of Brian,1979,Terry Jones,"Graham Chapman, John Cleese",8.038885335764027
Fa Yeung Nin Wah,2000,Kar-Wai Wong,"Tony Chiu-Wai Leung, Maggie Cheung",8.038625162393606
Eskiya,1996,Yavuz Turgul,"Sener Sen, Ugur Yücel",8.038459810121234
Hotel Rwanda,2004,Terry George,"Don Cheadle, Sophie Okonedo",8.03655810907644
Rush,2013,Ron Howard,"Daniel Brühl, Chris Hemsworth",8.035172381732817
Rocky,1976,John G. Avildsen,"Sylvester Stallone, Talia Shire",8.03422485010525
Amores perros,2000,Alejandro G. Iñárritu,"Emilio Echevarría, Gael García Bernal",8.033668721221687
Kimetsu no Yaiba: Mugen Ressha-Hen,2020,Haruo Sotozaki,"Natsuki Hanae, Akari Kitô",8.033524049856823
Into the Wild,2007,Sean Penn,"Emile Hirsch, Vince Vaughn",8.03242193910529
